mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
202712,ERA26LA151,2026-03-25 16:51:00+00:00,Block Island,Rhode Island,United States,"Maintenance personnel’s failure to ensure that the throttle cable was properly secured to the carburetor, which resulted an inflight separation of the throttle cable and the pilots’ inability to control the engine.",PIPER PA-32-260 AIR,Landing,0206203541|0105732215
202690,WPR26LA137,2026-03-23 12:39:00+00:00,Fairfield,Utah,United States,The pilot’s failure to maintain directional control during the landing roll. Contributing to the accident was nose wheel misalignment at touchdown.,SALT LAKE GYROCOPTERS LLC CALIDUS GYRO,Landing-flare/touchdown,0206304044|0106202020
202674,DCA26MA161,2026-03-22 23:37:00+00:00,New York,New York,United States,,MITSUBISHI CL-600 AIR,Landing-landing roll,
202673,CEN26FA142,2026-03-22 14:18:00+00:00,Sharp,Louisiana,United States,,Beechcraft B200GT AIR,Enroute,
202671,CEN26FA141,2026-03-20 15:03:00+00:00,Rock Falls,Illinois,United States,,PIPER PA-28-140 AIR,Unknown,
202685,WPR26LA135,2026-03-20 14:30:00+00:00,Big Bear,California,United States,The pilot's failure to maintain directional control during the landing roll with a quartering tailwind.,CESSNA 195 AIR,Landing,0206304044|0106202020|0303401582
202679,CEN26LA143,2026-03-20 14:15:00+00:00,Denton,Texas,United States,,CESSNA 172P AIR,Takeoff,
202687,CEN26LA144,2026-03-18 16:38:00+00:00,Northlake,Texas,United States,The pilot’s inadequate fuel management which resulted in a total loss of engine power due to fuel starvation.,MOONEY M20 AIR,Enroute-cruise,0107101025|0107101011|0105850001|0202152044|0204101044|0206301544|0204151044
202658,CEN26FA140,2026-03-17 00:24:00+00:00,Chesterfield,Missouri,United States,,AERO COMMANDER 500-B AIR,Takeoff,
202662,ERA26LA150,2026-03-14 12:32:00+00:00,Athens,Georgia,United States,The pilot’s failure to extend the landing gear before landing.,PIPER PA-24-260 AIR,Landing,0204103544|0206301544|0102323010
202676,DCA26WA162,2026-03-13 04:00:00+00:00,Misawa,Other Foreign,Japan,,BOEING 737 AIR,Takeoff,
